sl_no,pe_name,contract_name,contract_amount,procurement_category,procurement_method,status,contract_code
1201,"Infrastructure Development Office , Kailali","Construction of 9 Different Road of Lamkichuha ward no 1,2,4 & 5 Kailali",10328110.71,Works,NCB,In-Progress,IDOKAILALI/W/NCB/079/080-24
1202,"Infrastructure Development Office , Kailali","Construction of 5 Different Road of Gauriganga ward no 9,10 & 11 Kailali",11330468.56,Works,NCB,In-Progress,IDOKAILALI/W/NCB/079/080-23
1203,"Infrastructure Development Office , Kailali","Binesh Construction,Kailali",4409388.08,Works,NCB,In-Progress,IDOKAILALI/W/NCB/79/80-19
1204,"Infrastructure Development Office , Kailali",Construction & Upgrading of 4 Different Road of Gauriganga ward no 7 & 8 Kailali,14158102.46,Works,NCB,In-Progress,IDOKAILALI/W/NCB/079/080-22
1205,Rastriya Prasaran Grid Company Limited,Fencing of GI Barbed Wire with Concrete Post at Banlek Substation of West Seti Corridor 400kV Dobule Curcit Transmission Line Project,1804954.66,Works,Sealed Quotation,In-Progress,RPGCL/W/SQ/079-80/01
1206,Department of Plant Resources,"Fencing works using 50mmX 3mm MS Square Pipe including 25mmX25mmX3mm angle Frame with 7mm TOR bar link mesh at World Peace Bio-diversity Garden Pokhara, Kaski",3110718.17,Works,NCB,In-Progress,DPR/NCB/W/2079/80-1
1207,"Infrastructure Development Office , Kailali",Construction & Upgrading of 6 Different Road of Godawari Municipality  ward No 4 & 8 Kailali,9305321.28,Works,NCB,Completed,IDOKAILALI/W/NCB/079/080-13
1208,"Infrastructure Development Office , Kailali",Construction & Upgrading of 6 Different Road of Godawari Municipality  ward No 9 Kailali,9835393.93,Works,NCB,In-Progress,IDOKAILALI/W/NCB/079/080-14
1209,Rastriya Prasaran Grid Company Limited,"Procurement of Plant  for Design, Supply, Installation, Testing and Commissioning of Phukot-Betan-Dododhara 400kV Double Circuit Transmission Line",7823756954.54,Works,ICB,In-Progress,RPGCL/w/ICB/KCTLP/078/79/01
1210,"Infrastructure Development Office , Kailali","Construction & Upgrading of 5 Different Road of Dhangadhi Sub Metropolitan city ward no -5, Kailali",9863085.28,Works,NCB,In-Progress,IDOKAILALI/W/NCB/079/080-16
1211,Chhatradev Rural Municipality,Ratapokhara Khel Maidan Parapet Construction Works,7053611.34,Works,NCB,In-Progress, CRM/ARG/NCB/W/03/079/80
1212,Chhatradev Rural Municipality,Chhatradev Janta Aawas Housing Construction Works,7264818.12,Works,NCB,In-Progress, CRM/ARG/NCB/W/04/079/80
1213,"Infrastructure Development Office , Kailali","Construction & Upgrading of 8 Different Road of Dhangadhi Sub Metropolitan City  ward No 7,12,14,17&19 Kailali",14103643.87,Works,NCB,In-Progress,IDOKAILALI/W/NCB/079/080-17
1214,"Infrastructure Development Office , Kailali",Construction & Upgrading of 9 Different Road of Dhangadhi Sub Metropolitan City  ward No 1 Kailali,14488562.53,Works,NCB,In-Progress,IDOKAILALI/W/NCB/079/080-15
1215,"Infrastructure Development Office , Kailali","Construction & Upgrading of 4 Different Road of Godawari Municipality  ward No 5, 10 & 11 Kailali",8000000.00,Works,NCB,In-Progress,IDOKAILALI/W/NCB/079/080-12
1216,"Infrastructure Development Office , Kailali",Construction & Upgrading of 2 Different Road of Janaki Ga Pa Kailali,4766825.60,Works,NCB,In-Progress,IDOKAILALI/W/NCB/079/080-04
1217,"Infrastructure Development Office , Kailali",Construction & Upgrading works of Road & Culverts in Dhangadhi -06 & 13 Kailali,6678237.20,Works,NCB,In-Progress,IDOKAILALI/W/NCB/079/080-05
1218,Bhumikasthan Municipality,Milanchowk Kuchurepani Ward Office Thulakharka Choutara Motorable Road Upgrading Works.,6813835.11,Works,NCB,Completed,03/BMA/W/UPG/2079/080
1219,Nagarjun Municipality,Padma Samaj Bato Ward-5 Road Upgrading Works,4206175.55,Works,NCB,In-Progress,Nagarjun/NCB/W/10/2079-80
1220,She-Phokshundo Rural Municipality,WATER SUPPLY AND SANITATION CONSTRUCTION,4000000.00,Works,Force Account,Completed,SPRM/NCB/WORKS/2079/080
1221,"Urban Development & Building Office Ghorahi, Dang","Baal Shanti Griha Goraksha Marg Urban Infrastructure Development Works (Road Construction Works), Ghorahi-7, Parsa, Ghaderi, Dang.Re.",2843220.25,Works,NCB,In-Progress,UDBO/DANG/NCB/WORKS/22-2079/80
1222,"Urban Development & Building Office Ghorahi, Dang","Ramri Dham Basti Bikas (Drain & Road Construction Works), Tulsipur-03 ,Dang.",5775111.55,Works,NCB,In-Progress,UDBO/DANG/NCB/WORKS/27-2079/80
1223,Nagarjun Municipality,Sankata Bhairab tole Bato Starronnati,3038959.26,Works,NCB,In-Progress,Nagarjun/NCB/W/11/2079-80
1224,Nagarjun Municipality,"Chhagdol Sallaghari, Shiva Thapa ko ghar jane  bato and Tamang Basti Road Upgrading Works",5677458.02,Works,NCB,In-Progress,Nagarjun/NCB/W/07/2079-80
1225,Nagarjun Municipality,Aadeshwor Bajrayogini and Gumba Marga Road Upgrading Works,3530431.58,Works,NCB,In-Progress,Nagarjun/NCB/W/09/2079-80
1226,Nagarjun Municipality,Ward-1 Bhitri Bato and Ward-2 devnagar Road Upgrading Works,5408797.91,Works,NCB,In-Progress,Nagarjun/NCB/W/08/2079-80
1227,Nagarjun Municipality,Lasunpure Road U[grading Works,13557125.78,Works,NCB,In-Progress,Nagarjun/NCB/W/04/2079-80
1228,Nagarjun Municipality,Bhimsensthan Thaple Road Upgrading Works,20295178.80,Works,NCB,In-Progress,Nagarjun/NCB/W/02/2079-80
1229,Nagarjun Municipality,Khadkagaun Kanpur Pakhure Road Upgrading Works,27447532.87,Works,NCB,In-Progress,Nagarjun/NCB/W/01/2079-80
1230,"Local Infrastructure Development Project Office (LIDPO), Hetauda","Construction of Narayan Kunwar Khageri Nagar Amarbasti Ra Kesharbagh ko simana Jodne Sadak Pul, Bharatpur Mahanagarpalika-6 Chitwan amd Ghyang Khola Pul, Naya Pul Pawati,Dandakharka, Dolakha",72641856.59,Works,NCB,In-Progress,LIDPO/Htd/NCB/Works/MB-03/079/80
1231,"Local Infrastructure Development Project Office (LIDPO), Hetauda","Fabrication, supply, Transportation, Construction and Erection of various suspension trail bridges through construction turnkey packages",92059970.00,Works,NCB,In-Progress,LIDPO/Htd/NCB/Works/TB-05/079/80
1232,Sunsari Morang Irrigation Project,"Rehabilitation of Canal and Construction of Associated Structures at Haripur Sub Distributary Canal System, Sunsari",62432389.47,Works,NCB,In-Progress,SMIP/04/NCB/2079-80
1233,"Local Infrastructure Development Project Office (LIDPO), Hetauda","Fabrication, supply, Transportation, Construction and Erection of various suspension trail bridges through construction turnkey packages",73559610.00,Works,NCB,Completed,LIDPO/Htd/NCB/Works/TB-04/079/80
1234,"Local Infrastructure Development Project Office (LIDPO), Hetauda","Construction of Dawadi chowk guruko ghol sadak pul, Bharatpur Mahanagarpalika-06, Chitwan",66168103.30,Works,NCB,In-Progress,LIDPO/Htd/NCB/Works/MB-02/079/80
1235,Rainadevi Chhahara Rural Municipality,Construction of Rainadevi Temple,7592104.28,Works,NCB,Completed,RRM/PAL/W/NCB-04/079/80
1236,"Tokha Municipality, Office of the Municipal Executive","Labu hudai Malung Sadak Kalopatray, ward-02",20868539.30,Works,NCB,In-Progress,10/NCB/TM/W/2079-080 
1237,"Tokha Municipality, Office of the Municipal Executive",Tokha Nagarpalika ward-08 ra ward 11 jodne Baniyatar Pool Nirman Karya,33804376.50,Works,NCB,In-Progress,15/NCB/TM/W/2079-080 
1238,"Tokha Municipality, Office of the Municipal Executive","Faidol Iko Chakhu Sadak Upgrade, ward-03",20602097.00,Works,NCB,In-Progress,19/NCB/TM/W/2079-080 
1239,"Tokha Municipality, Office of the Municipal Executive","Laxmi Chowk dekhi Futung Mul Sadak Slab Dhalan, ward-03",2998229.24,Works,NCB,In-Progress,20/NCB/TM/W/2079-080 
1240,"Tokha Municipality, Office of the Municipal Executive","Sai Baba Chowk dekhi Hattigauda jane Bishnumati Pool saamma Khanepani Pipeline sahit Sadak Upgrade, ward-03",5397748.00,Works,NCB,In-Progress,21/NCB/TM/W/2079-080 
1241,"Tokha Municipality, Office of the Municipal Executive","Ward bhitraka mul tatha sayak batoharu ma CC Camera tatha sadak batti jadan karya, ward-10",2096840.00,Goods,NCB,Completed,23/NCB/TM/G/2079-080 
1242,"Tokha Municipality, Office of the Municipal Executive","Construction of Compound wall,Retaining wall and Interlock Block of Tokha Municipality",4781330.85,Works,NCB,In-Progress,27/NCB/TM/W/2079-080 
1243,"Tokha Municipality, Office of the Municipal Executive",Ward -09 ko Bibhinna Sadak Overlay,2158535.00,Works,NCB,In-Progress,28/NCB/TM/W/2079-080 
1244,"Water Supply and Sanitation Division-3, Sindhupalchok",Moldole Solithumka WSP,9725373.01,Works,NCB,In-Progress,NCB15/079/80
1245,"Water Supply and Sanitation Division-3, Sindhupalchok",Bandeu Dumrighat WSP,6542080.24,Works,NCB,In-Progress,NCB14/079/80
1246,"Water Supply and Sanitation Division-3, Sindhupalchok",Katunje Lifting WSP,6375634.40,Works,NCB,Completed,NCB16/079/80
1247,"Water Supply and Sanitation Division-3, Sindhupalchok",Chalan Ganeshthan WSP,6872571.73,Works,NCB,In-Progress,NCB17/079/80
1248,"Water Supply and Sanitation Division-3, Sindhupalchok",Construction of Bhumlu Saping Water Supply Project,19657056.47,Works,NCB,In-Progress,NCB18/079/80
1249,Gaighat Diktel Road Project,Road and Traffic Safety Works,887741.56,Works,Sealed Quotation,Completed,GDRP/337011014/079/80-06
1250,"District Police Office, Sunsari",J.S.S. Engineering Services Private Limited,32169131.79,Works,NCB,Completed,NCB/DPO-SUN/BRCT/2079-080/RP02
1251,Bhumikasthan Municipality,Dharapani Phalamkhilli Ansurkot Road Upgrading works.,7511692.85,Works,NCB,In-Progress,04/BMA/W/UPG/2079/080
1252,Bhumikasthan Municipality,Nuwakot Khilji Ansurkot Motorable Road Upgrading Works.,66972009.17,Works,NCB,In-Progress,05/BMA/W/BT/2078/079
1253,Bhumikasthan Municipality,Udayathati Chautara Pauwa Motorable Road Upgrading works.,6929914.24,Works,NCB,In-Progress,05/BMA/W/BT/2079/080 
1254,Bhumikasthan Municipality,Belbot Dadagaun Durbang Motorable Road Upgrading works.,6923688.28,Works,NCB,In-Progress,06/BMA/W/UPG/2079/080 
1255,Bhumikasthan Municipality,Baraneta Jalam Jhimruk Motorable Road Upgrading Works.,7520484.99,Works,NCB,Completed,07/BMA/W/UPG/2079/080 
1256,No. 1 State Police Office,Construction of Prefab Barrack Block,4404312.50,Works,NCB,In-Progress,NCB/N1SP/079-80/BP01
1257,No. 1 State Police Training Centre,"Construction of Office and Barrack  at No.1 State Police Training Center,Gothgaun Morang",168043960.34,Works,NCB,In-Progress,NCB/N1SP/N1SPTC/2079-080/RP01
1258,"Infrastructure Development Office , Kailali",Construction of Sitalpur -Simali Road,68840824.19,Works,NCB,In-Progress,IDOKAILALI/W/NCB/79/80-01
1259,"Infrastructure Development Office , Kailali",Construction of Krishnamandir Dekhi Godawari 12 Bandrekhal Road,66141206.38,Works,NCB,In-Progress,IDOKAILALI/W/NCB/79/80-03
1260,Road Division Chandranigahpur,"Road Improvement Works along Rautahat Chandrapur Ward no.8 Santpur- Sindureghari-Malintole-Chetnagar Samm Pakki Sadak(CH 0+000 to 20+000 ), Rautahat ( total length of working section :7.55 KM)",131884677.52,Works,NCB,In-Progress,RDCNP/33701138/2079/80-07
1261,Road Division Chandranigahpur,"Road Improvement along Bagmati-11 Churevitte road to Mudewala river road, Sarlahi",6856303.25,Works,NCB,In-Progress,RDCNP/33701169/2079/80-14
1262,Road Division Chandranigahpur,"Road Improvement along Chakraghtta-9 Khoriya - Goiyahi - Aurahi - Kabilashi-10 Salempur road, Sarlahi",3434996.60,Works,NCB,In-Progress,RDCNP/33701169/2079/80-16
1263,Road Division Chandranigahpur,"Road Improvement along Chakraghtta bazzar - Paterwa - Chenpura road, Sarlahi",3959886.12,Works,NCB,In-Progress,RDCNP/33701169/2079/80-17
1264,Road Division Chandranigahpur,"Road Improvement along Chureko fedi krishi road Bagmati-1 to -11 road, Sarlahi",3702075.37,Works,NCB,In-Progress,RDCNP/33701169/2079/80-18
1265,Bhumikasthan Municipality,Bhujelpani Sandeva Thuldeva Motorable Road Upgrading works.,6922004.24,Works,NCB,Completed,09/BMA/W/UPG/2079/080 
1266,Road Division Chandranigahpur,"Road Improvement along Kabilashi-8 Agarwa chok dekhi Jamunraiko ghar hudain Pakar tole - Ram tole hudain Kabilashi Police chauki samma road, Sarlahi",3404424.45,Works,NCB,In-Progress,RDCNP/33701169/2079/80-19
1267,Road Division Chandranigahpur,"Road Improvement Works along Parsa Dekhi Pipra Hudai Chaulikha Raitarkhor Hudainmain Rajmarga Samma , Sarlahi",7741940.75,Works,NCB,In-Progress,RDCNP/33701169/2079/80-21
1268,Road Division Chandranigahpur,"Construction of RCC Drain Works along Chandranigahpur-Gaur Road, Rautahat",6365421.08,Works,NCB,In-Progress,RDCNP/33701169/2079/80-26
1269,Road Division Chandranigahpur,Construction of Rigid Pavement along Gedahi dekhi Brindavan na.pa. 16 Sadak Rautahat,3020264.00,Works,NCB,In-Progress,RDCNP/33701169/2079/80-28
1270,Road Division Chandranigahpur,Construction of Causeway Near West guide bund of Lalbakaiya River at Katahariya Rautahat,11702133.10,Works,NCB,In-Progress,RDCNP/33701169/2079/80-30
1271,Road Division Chandranigahpur,"Construction of Box Culvert and Hume pipe Culvert along Gaur Chakrapath, Rautahat.",4886121.78,Works,NCB,Completed,RDCNP/33701169/2079/80-34
1272,Road Division Chandranigahpur,"Construction of Pavement Works and Drain Works along Chandranigahpur-Gaur Road, Rautahat",13536547.30,Works,NCB,In-Progress,RDCNP/33701169/2079/80-36
1273,Road Division Chandranigahpur,"Construction of Blacktop and Drain Works along Dhansar- Kathariya-Karkach Road, Rautahat",49855568.13,Works,NCB,In-Progress,RDCNP/33701169/2079/80-37
1274,Road Division Chandranigahpur,"??? ???????????? ???, ?.??.??. ????? ????? ???????, ??????? ? ????? Road Improvement Works along MRM of BankeDhansar Section, Sarlahi&Rautahat.",1199158.13,Works,NCB,In-Progress,RDCNP/33701136/2079/80-45
1275,Sunsari Morang Irrigation Project,"Construction of Headworks and Canal lining with Drain Protection at 114RD of CMC, Morang",37424935.12,Works,NCB,In-Progress,SMIP-05/NCB/2079-80
1276,Sunsari Morang Irrigation Project,Construction /Rehabilitation of Canal and Associated Structures of Chisang Minor and Kalikoshi Feeder Canal.,30920940.07,Works,NCB,In-Progress,SMIP-06/NCB/2079-80
1277,Sunsari Morang Irrigation Project,Construction of Spurs in Right (western) bank of Koshi River,183200850.34,Works,NCB,In-Progress,SMIP-07/NCB/2079-80
1278,"Infrastructure Development Office , Kailali",Construction & Upgrading work of Kailali Pul Dekhi Dhangadhi 8 Hulaki Sadak ko Zero Point Samma Sadak,516878641.13,Works,NCB,In-Progress,IDOKAILALI/W/NCB/79/80-28
1279,"Urban Development & Building Office Ghorahi, Dang","Bahane Bazar Integrated Infrastructure Construction Work, Naubahini-6, Pyuthan.",1475116.17,Works,NCB,In-Progress,UDBO/DANG/NCB/WORKS/28-2079/80
1280,BHIMAD  MUNICIPALITY,Construction of basic health service center building,3502996.58,Works,NCB,Completed,5/NCB/WORKS/BM/078/79
1281,BHIMAD  MUNICIPALITY,Bhimad Bhagar Simle sadak kalopatre Yojana,8464820.69,Works,NCB,In-Progress,5/NCB/WORKS/BM/079/80
1282,"Urban Development and Building Office, Banke","Construction of RCC drain work at Rajapur-4 Tharu Village, Bardiya",3855704.42,Works,NCB,In-Progress,UDBO/BANKE/NCB/WORK/RAJAPUR.DRAIN/079-080/57
1283,"Urban Development and Building Office, Banke",Retrofitting Work 4 Room Building of Himalay Adharbhut School at Thakurbaba-3 Mirchaiya Bardiya,1924490.49,Works,NCB,In-Progress,UDBO/BANKE/NCB/WORK/RETROFITTING.Blg/079-080/60
1284,"Urban Development and Building Office, Banke",Construction & Fitting of High Mast Light at Market Area Bansagadhi-05 Bardiya,2329742.55,Works,NCB,In-Progress,UDBO/BANKE/NCB/WORK/HIGHMASTLIGHT.BANSAGADHI/079-080/53
1285,"Urban Development and Building Office, Banke",Construction of RCC drain work at Mainapokhar Bazar Bardiya,6732840.22,Works,NCB,In-Progress,UDBO/BANKE/NCB/WORK/MAINAPOKHAR.DRAIN/079-080/56
1286,Upper Arun Hydroelectric Limited (UAHEL),Construction of Access Road for Upper Arun Hydro-electric Project,7913941553.31,Works,ICB,In-Progress,UAHEP/078-79/ICB/AR/L1
1287,Gaighat Diktel Road Project,Resealing & Improvement Work at Gaighat Diktel Road (Ch 4+715 to Ch. 20+000),36456818.46,Works,NCB,In-Progress,GDRP/337011014/079/80-07
1288,Department of Plant Resources,Simraungadh Banaspati Udhyan ma Sanrachana Nirman,3085497.75,Works,NCB,In-Progress,DPR/NCB/W/2079/80-2
1289,Lamahi Town Development Committee,Ganga Nirman Sewa,4214594.00,Works,NCB,Completed,Moud/Lamahi/TDC/NCB/04/079/80
1290,Lamahi Town Development Committee,Upgrading Road Work,27182507.65,Works,NCB,In-Progress,MOUD/LTDC/NCB/05/029/080
1291,"Infrastructure Development Office, Myagdi",Construction / Upgrading of of Singha - Sineri - Dandakhet - Pulachaur - Gandhe - Jagannath to Dholthana Road,7219829.67,Works,NCB,In-Progress,IDO/MYAGDI/NCB/W/08/079-80
1292,Sandhikharka Municipality,Mathurabesi Pauwa Protection and Approach Road Construction,14070033.33,Works,NCB,In-Progress,NCB/SM/R/P/03/2079/80
1293,Sandhikharka Municipality,Sahid Sarala Marga Rural Road Upgrading,13822137.56,Works,NCB,In-Progress,NCB/SM/R/P/04/2079/80
1294,Sandhikharka Municipality,Construction of Supa deaurali Dharma Shala Building,15657857.29,Works,NCB,In-Progress,NCB/SM/B/P/7/2079/080
1295,Sandhikharka Municipality,NCB/SM/B/P/8/2079/080 -Gangasarobar Tal Upgrading works,11896614.48,Works,NCB,In-Progress,NCB/SM/B/P/8/2079/080 
1296,Sandhikharka Municipality,"NCB/SM/B/P/5/2079/080-Construction of Health Post Building (ward No.7,8 & 11)",57639604.40,Works,NCB,In-Progress,NCB/SM/B/P/5/2079/080 
1297,Bharatpur Metropolitian City Office,"Procurement of Electronic and electrical goods, BMC.",4516045.00,Goods,NCB,Completed,5-BMC/2079/080/G/NCB/7
1298,Bharatpur Metropolitian City Office,"""	Procurement of Printing related goods for Office, BMC""",3706739.00,Goods,NCB,Completed,5-BMC/2079/080/G/NCB/9
1299,Bharatpur Metropolitian City Office,Supply and Delivery of Stationery-Maslanda related Goods,2729441.55,Goods,NCB,Completed,5-BMC/2079/080/G/NCB/10
1300,"Infrastructure Development Office, Myagdi",Constriction/ Upgrading of Poka -Neta- Arman Kimachaur Deurali Road,7261980.45,Works,NCB,In-Progress,IDO/MYAGDI/NCB/W/09/079-080
1301,Sandhikharka Municipality,Construction of Argha Bhagawati Primary School Building,30914638.41,Works,NCB,In-Progress,NCB/SM/B/P/06/2079/80 
1302,"Road Infrastructure Development Office, Arghakhanchi","Construction of Gudung Khola Bridge, Pattharkot Harre Road",61858420.29,Works,NCB,In-Progress,RIDO-ARG-W-NCB-42-2079/080
1303,Sandhikharka Municipality,NCB/SM/R/P/09/2079/080 Dhorpatan-Behore-kura-Pallabari-Duwara-Gachhe Road Upgrading,77681802.20,Works,NCB,In-Progress,NCB/SM/R/P/09/2079/080
1304,Sandhikharka Municipality,NCB/SM/B/P/10/2079/080 Construction of Mathura nandaram Adharvut School Building,4384104.10,Works,NCB,Completed,NCB/SM/B/P/10/2079/080
1305,Sandhikharka Municipality,NCB/SM/B/P/11/2079/080 Construction of Bhagawati Secondary school Building,4232259.00,Works,NCB,Completed,NCB/SM/B/P/11/2079/080 
1306,Sandhikharka Municipality,NCB/SM/B/P/12/2079/080-Construction of Parbati Adharvut School Buildin,2370065.22,Works,NCB,Completed,NCB/SM/B/P/12/2079/080
1307,Sandhikharka Municipality,NCB/SM/B/P/13/2079/080 -Construction of Janata Adharvut  school Building,2223262.34,Works,NCB,Completed,NCB/SM/B/P/13/2079/080 
1308,Sandhikharka Municipality,NCB/SM/B/P/14/2079/080-Construction of Parkritik Sampadako Rupama Raheko Rock Garden Samrakshana,14027711.99,Works,NCB,In-Progress,NCB/SM/B/P/14/2079/080
1309,Sandhikharka Municipality,NCB/SM/W/P/15/2079/080-Historical Khanchi Durbar Reconstruction & Approach Road Construction,15305432.63,Works,NCB,In-Progress,NCB/SM/W/P/15/2079/080
1310,Sandhikharka Municipality,NCB/SM/B/P/16/2079/080 -,14794240.35,Works,NCB,In-Progress,NCB/SM/B/P/16/2079/080 
1311,Sandhikharka Municipality,NCB/SM/B/P/17/2079/080-Rithe Khola Majha Hatiya- Jare Khola Rural Road Upgrading,13607544.05,Works,NCB,In-Progress,NCB/SM/B/P/17/2079/080
1312,Sandhikharka Municipality,NCB/SM/B/P/18/2079/080-Construction of Janata Krishna Ma. Vi. School Hostel Building,4596297.26,Works,NCB,Completed,NCB/SM/B/P/18/2079/080
1313,Sandhikharka Municipality,"NCB/SM/R/P/19/2079/080 -Sandhikharka Ward no 1, 2 Bazar areas and Ward no 7, Phudbang bazar Black top Area Road Maintenance",8008579.80,Works,NCB,Completed,NCB/SM/R/P/19/2079/080 
1314,"Infrastructure Development Office, Myagdi","Construction of  Paudwar Tatopani Thurung  Trail Bridge over  Kaligandki River, Annpurna RM Through Construction Turn Key Package",9350486.70,Works,NCB,In-Progress,IDO/MYAGDI/NCB/W/CTP /12/079-80 
1315,"Irrigation and Water Resource Management Project, Rajapur, Bardiya",KRMP/GRB/NCB/31/079/80,134052932.02,Works,NCB,In-Progress,KRMP/GRB/NCB/31/079/80
1316,"Irrigation and Water Resource Management Project, Rajapur, Bardiya",KRMP/GRB/NCB/32/079/80,82615506.58,Works,NCB,In-Progress,KRMP/GRB/NCB/32/079/80
1317,"Irrigation and Water Resource Management Project, Rajapur, Bardiya",KRMP/GRB/NCB/30/079/80,31760788.75,Works,NCB,Completed,KRMP/GRB/NCB/30/079/80
1318,"Irrigation and Water Resource Management Project, Rajapur, Bardiya",KRMP/GRB/NCB/27/079/80,100272953.51,Works,NCB,Completed,KRMP/GRB/NCB/27/079/80
1319,"Irrigation and Water Resource Management Project, Rajapur, Bardiya",KRMP/KLB/NCB/MT-04/079/80,109144363.72,Works,NCB,Completed,KRMP/KLB/NCB/MT-04/079/80
1320,"Irrigation and Water Resource Management Project, Rajapur, Bardiya",KRMP/GRB/NCB/28/079/80,157674267.39,Works,NCB,In-Progress,KRMP/GRB/NCB/28/079/80
1321,"Irrigation and Water Resource Management Project, Rajapur, Bardiya",KRMP/GRB/NCB/29/079/80,72103894.96,Works,NCB,In-Progress,KRMP/GRB/NCB/29/079/80
1322,"Irrigation and Water Resource Management Project, Rajapur, Bardiya",KRMP/KLB/NCB/25/079/80,75612726.13,Works,NCB,In-Progress,KRMP/KLB/NCB/25/079/80
1323,"Irrigation and Water Resource Management Project, Rajapur, Bardiya",KRMP/KLB/NCB/26/079/80,116286302.70,Works,NCB,Completed,KRMP/KLB/NCB/26/079/80
1324,"Road Infrastructure Developmant Office, Kapilvastu",Kapilvastu Nagarpalika Bhikkshu Chowk Malpara-Bijgauri Road,40953553.91,Works,NCB,In-Progress,RIDOKAP/10134/NCB/79-80/73
1325,"Road Infrastructure Developmant Office, Kapilvastu","Fabrication,Supply,Transportation,Construction and Erection of Baba Kurtighat trail Bridges over Banganga River Buddhabhumi 10 Kapilvastu",18878910.00,Works,NCB,In-Progress,RIDOKAP/10134/NCB/CTP/79-80/156
1326,"Road Infrastructure Developmant Office, Kapilvastu","Construction Of Bhutaha multicel Box Culvert along Patariya road,Kapilbastu",34164813.19,Works,NCB,In-Progress,RIDOKAP/10134/NCB/079-80/157
1327,"Urban Development and Building Office, Rupandehi","Construction of  Infrastructure(Tharu Meusam) at Tharu Kalyankari shabha,Omsatiya-02,Rupandehi.",7426994.98,Works,NCB,In-Progress,UDB-RUP/34701013/NCB/079-80/83
1328,"Urban Development and Building Office, Rupandehi","Upgrading and Construction of Drain & Road at Chauwannapur to Bakalipur Buddhabhumi-9,Kapilvastu",2092285.40,Works,NCB,In-Progress,UDB-RUP/34701012/ NCB/079-80/85
1329,"Urban Development and Building Office, Rupandehi","Construction Works Of Rural & Small City Infrastructure Development at Tilottama-17,Thatharihawa and other Tole ,Rupandehi.",47417790.15,Works,NCB,In-Progress,UDB-RUP/34701014/ NCB/ 079-80/65
1330,"Urban Development and Building Office, Rupandehi",Construction of Building Construction Work of Marchawar Adarsha Ma Vi school building at Kotahimai-5 Marchawar Rupandehi,68549208.00,Works,NCB,In-Progress,UDB-RUP/35000022/NCB/079-80/59
1331,"Urban Development and Building Office, Rupandehi","Construction of Infrastructure at Binayak Tole, Mayadevi-08, Rupandehi",34562523.43,Works,NCB,In-Progress,UDB-RUP/34701012/NCB/079-80/63
1332,"Urban Development and Building Office, Rupandehi","Construction of Infrastructure at Chhapiya Gaun, Siyari-4, Rupandehi",32654455.30,Works,NCB,In-Progress,UDB-RUP/34701012/NCB/079-80/64
1333,"Urban Development and Building Office, Rupandehi","Upgrading work of road at Palhinandan-1, Sunari, Palinandan-02, Harpur,Palinandan-03,Kusma Palinandan-06, Paderi and Ramgram-16, Hakui.Nawalparasi West.",13165489.38,Works,NCB,In-Progress,UDB-RUP/34701012/NCB/079-80/33
1334,"Urban Development and Building Office, Rupandehi","Construction of Rural and Urban Settlement Infrastructure at Majhgawa, Rupandehi",33224176.12,Works,NCB,In-Progress,UDB-RUP/34701014/ NCB/ 079-80/62
1335,"Urban Development and Building Office, Rupandehi","Construction of Infrastructures  at   Mahalawar-Majdiya Road  at Lumbini Sanskritic Municipality, Rupandehi",27435942.62,Works,NCB,In-Progress,UDB-RUP/34701014/ NCB/ 079-80/71
1336,"Infrastructure Development Office, Myagdi",Constriction of Adhiwara Khola Motorable Bridge,41083156.88,Works,NCB,In-Progress,IDO/MYAGDI/NCB/W/BRIDGE/10/079-080
1337,"Infrastructure Development Office, Myagdi",Constriction of Arje Khola Motorable Bridge,34115572.48,Works,NCB,In-Progress,IDO/MYAGDI/NCB/W/BRIDGE/11/079-80(Re)
1338,Bandipur Rural Municipality,Construction of Athithi Griha Bhaban,3294444.92,Works,NCB,In-Progress,BRM/NCB/WORKS/07/2079/080
1339,Bandipur Rural Municipality,Upgrading of Bandipur-Khahare-Seratar-Sukhaura Road,10849873.03,Works,NCB,In-Progress,BRM/NCB/WORKS/03/2080-081
1340,Bandipur Rural Municipality,Upgrading of Bandipur-Dharampani Road,9434209.68,Works,NCB,In-Progress,BRM/NCB/WORKS/02/2080/081
1341,Naugad Rural Municipality,Construction of Ward Office Building Naugad 1 Darchula,6011064.40,Works,NCB,Completed,01
1342,Rainadevi Chhahara Rural Municipality,Construction of Rainadevi Chhahara 15 Bed Primary Hospital,221748124.93,Works,NCB,In-Progress,RRM/PAL/NCB/W/11-079/80
1343,Rainadevi Chhahara Rural Municipality,Upgrading of Dhajabanne-Pelawas-Taalpokhara-Arghakhanchi Road,5950681.32,Works,NCB,Completed,RRM/PAL/NCB/W/01-080/81
1344,"Road Infrastructure Developmant Office, Kapilvastu",Labani chowk to Sisahaniya Nandanagar Siddhipur Sohasa road upgradation,2175286.29,Works,NCB,In-Progress,RIDOKAP/10134/NCB/080-81/02
1345,"Road Infrastructure Developmant Office, Kapilvastu",Jharuwa chowk Mahatiniya Sisahaniya Bhagwanpur road upgradation,2621971.90,Works,NCB,In-Progress,RIDOKAP/10134/NCB/080-81/03
1346,"Road Infrastructure Developmant Office, Kapilvastu",Barrohiya chowk Mungehari Manpur Madarhawa Mahadev Baluhawa road upgradation,3944507.58,Works,NCB,In-Progress,RIDOKAP/10134/NCB/080-81/08
