sl_no,pe_name,contract_name,contract_amount,procurement_category,procurement_method,status,contract_code
72,"Urban Development and Building Office, Ilam","Road and Drain Construction work at Laxmimarga-Baluwatar-Chakrapath, Damak, Jhapa",35399339.95,Works,NCB,In-Progress,UDBO/ILAM/W/NCB/04/075-76
73,"Urban Development and Building Office, Ilam","Construction of Multipurpose Building In Naya Bazaar, Maijogmai,Ilam",25631510.54,Works,NCB,In-Progress,UDBO/ILAM/W/NCB/19/075-76
74,"Urban Development and Building Office, Ilam",Construction of Road and Drains in Fungling Municipalit Taplejung,76017724.00,Works,NCB,In-Progress,UDBO/ILAM/W/NCB/15/075-076
75,"Infrastructure Development office, Rupandehi",Upgrading - Bagahawa Gaun- Kaughat Road Rupandehi,2300104.56,Works,NCB,Completed,RIDORUP/RUP/134/NCB/078-79/154
76,"Urban Development and Building Office, Ilam","Construction Of Miklajung Awasiye Bhawan,Rabi,Miklajung Rural Muncipality, Panchthar",38991442.47,Works,NCB,Completed,UDBO/ILAM/W/NCB/03/075-76
77,"Urban Development and Building Office, Ilam","Construction of Guest House In Sandakpur Hill, Ilam",28591514.58,Works,NCB,In-Progress,UDBO/ILAM/W/NCB/17/075-76
78,"Urban Development and Building Office, Rolpa","Cultural Theater Access Road and Footpath Construction Work, Rolpa na pa,Rolpa.",1938189.61,Works,NCB,In-Progress,UDBO/ROLPA/NCB/WORKS/02-2078/79
79,"Urban Development and Building Office, Rolpa","Tribeni Nerpa Bazar Basti Bikash (Road and Drain Work),Rolpa.",3703172.56,Works,NCB,In-Progress,UDBO/ROLPA/NCB/WORKS/03-2078/79
80,"Urban Development and Building Office, Rolpa","Jibang Kafaldanda Green Park Construction work, Rolpa Na. Pa. -06, Rolpa.",4217055.11,Works,NCB,In-Progress,UDBO/ROLPA/NCB/WORKS/04-2078/79
81,"Urban Development and Building Office, Rolpa","Sushil Koirala Smriti Building Construction Works, Liwang, Rolpa .",4115500.82,Works,NCB,In-Progress,UDBO/ROLPA/NCB/WORKS/06-2078/79
82,Mahakali Irrigation Project-III Stage,Construction of Canal and Related Structures,36369616.45,Works,NCB,Completed,MIP/TMC/WORKS/NCB-01/2077-78
83,"Urban Development and Building Office, Ilam","Construction of road and drain in ilam municipality, ilam",17366554.40,Works,NCB,Completed,UDBO/ILAM/W/NCB/14/075-76
84,"Urban Development and Building Office, Ilam","Construction of area police office cum barrack & toilet block, manglabare,ilam",22213535.81,Works,NCB,Completed,UDBO/ILAM/W/NCB/07/075-76
85,"Urban Development and Building Office, Ilam","Construction Of Multi-Storey Parking and Information Centre, Ilam-7",127231235.32,Works,NCB,In-Progress,UDBO/ILAM/W/NCB/13/076-77
86,"Urban Development & Building Office Ghorahi, Dang","Dabri Pipal Bot - Kanjawar Road Construction Works, Tulsipur 15 Dang.Re",1700636.55,Works,Sealed Quotation,In-Progress,UDBO/DANG/SQ/WORKS/24-2078/79
87,"Urban Development & Building Office Ghorahi, Dang","Gurukul School-Deepshikha Chowk-Army Barrack Integrated Infrastructure Construction Works( Drain Works ), Ghorahi 15, Dang.",3230345.43,Works,NCB,In-Progress,UDBO/DANG/NCB/WORKS/13-2078/79
88,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of  Naglibang Trail Bridge",92993247.90,Works,NCB,Completed,NCB-18/078/79
89,"Urban Development and Building Office, Rupandehi","Construction of 15 Bed Ayurbed Hospital Building,Taulihawa,Kapilvastu",114110367.41,Works,NCB,In-Progress,UDB-RUP/34701013/078-79/50
